SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,3062 S Buchanan St Unit B1,Arlington,VA,22206,289900,1,1.0,FAIRLINGTON VILLAGES,767,,1944,1,378,280,Active,,,http://www.redfin.com/VA/Arlington/3062-S-Buchanan-St-22206/unit-B1/home/11268963,BRIGHT MLS,VAAR2002784,N,Y,38.8367629,-77.0976666
MLS Listing,,Townhouse,8071 Sky Blue Dr,Alexandria,VA,22315,525000,3,2.5,LANDSDOWNE,1740,1420,1989,2,302,102,Active,,,http://www.redfin.com/VA/Alexandria/8071-Sky-Blue-Dr-22315/home/9807318,BRIGHT MLS,VAFX2011186,N,Y,38.737476,-77.16931
MLS Listing,,Townhouse,4225 32nd Rd S,Arlington,VA,22206,649000,2,2.0,CLARENDON,1500,,1940,2,433,467,Active,August-15-2021 01:00 PM,August-15-2021 03:00 PM,http://www.redfin.com/VA/Arlington/4225-32nd-Rd-S-22206/home/11269666,BRIGHT MLS,VAAR2003318,N,Y,38.8364126,-77.086541
MLS Listing,,Single Family Residential,4811 Seminole Ave,Alexandria,VA,22312,585000,3,3.0,WEYANOKE,1536,7500,1935,3,381,,Active,August-15-2021 01:00 PM,August-15-2021 03:00 PM,http://www.redfin.com/VA/Alexandria/4811-Seminole-Ave-22312/home/9722863,BRIGHT MLS,VAFX2011686,N,Y,38.8196088,-77.1532786
MLS Listing,,Townhouse,536 E Luray Ave,Alexandria,VA,22301,700000,2,2.0,BRENTON,1224,1504,1944,3,572,,Active,August-15-2021 01:00 PM,August-15-2021 03:00 PM,http://www.redfin.com/VA/Alexandria/536-E-Luray-Ave-22301/home/11844231,BRIGHT MLS,VAAX2002336,N,Y,38.818421,-77.0536561
MLS Listing,,Condo/Co-op,2500 N Van Dorn St #1403,Alexandria,VA,22302,219000,2,2.0,PARK PLACE,1042,,1965,3,210,811,Active,August-15-2021 01:00 PM,August-15-2021 03:00 PM,http://www.redfin.com/VA/Alexandria/2500-N-Van-Dorn-St-22302/unit-1403/home/11868001,BRIGHT MLS,VAAX2002084,N,Y,38.8326778,-77.0997478
MLS Listing,,Townhouse,5927 Kirkcaldy Ln,Alexandria,VA,22315,565000,2,3.0,KINGSTOWNE SEC 34D,2022,1335,2000,8,279,120,Active,,,http://www.redfin.com/VA/Alexandria/5927-Kirkcaldy-Ln-22315/home/9783485,BRIGHT MLS,VAFX2011350,N,Y,38.766891,-77.138757
MLS Listing,,Single Family Residential,3301 Russell,Alexandria,VA,22305,1025000,4,2.5,MOUNT IDA,2486,10020,1937,9,412,,Active,,,http://www.redfin.com/VA/Alexandria/3301-Russell-Rd-22305/home/11847088,BRIGHT MLS,VAAX2002360,N,Y,38.8346749,-77.0671655
MLS Listing,,Condo/Co-op,4654 Lawton Way,Alexandria,VA,22311,280000,1,1.0,MANORS AT STONEGATE,834,,1992,9,336,359,Active,,,http://www.redfin.com/VA/Alexandria/4654-Lawton-Way-22311/unit-2/home/11871673,BRIGHT MLS,VAAX2002176,N,Y,38.834317,-77.111317
MLS Listing,,Condo/Co-op,5911 Edsall Rd #502,Alexandria,VA,22304,246000,2,2.0,HIGHPOINTE,1002,,1978,10,246,607,Active,,,http://www.redfin.com/VA/Alexandria/5911-Edsall-Rd-22304/unit-502/home/11869767,BRIGHT MLS,VAAX2002180,N,Y,38.8079336,-77.1369216
