SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1200 I St #213,Anchorage,AK,99501,349000,2,2.0,Anchorage Municipality,1055,1072,1982,1,331,583,Active,,,https://www.redfin.com/AK/Anchorage/1200-I-St-99501/unit-213/home/131088943,AKMLS,22-68,N,Y,61.2099453,-149.9007438
MLS Listing,,Condo/Co-op,8698 Dry Creek Loop Unit 61A,Anchorage,AK,99502,429900,3,3.0,Anchorage Municipality,1751,,2021,1,246,296,Active,,,https://www.redfin.com/AK/Anchorage/8698-Dry-Creek-Loop-99502/unit-61A/home/177807329,AKMLS,22-64,N,Y,61.1413044,-149.9870308
MLS Listing,,Condo/Co-op,8694 Dry Creek Loop Unit 61B,Anchorage,AK,99502,429900,3,3.0,Anchorage Municipality,1751,,2021,1,246,296,Active,,,https://www.redfin.com/AK/Anchorage/8694-Dry-Creek-Loop-99502/unit-61B/home/177807328,AKMLS,22-65,N,Y,61.1413044,-149.9870308
MLS Listing,,Condo/Co-op,8689 Dry Creek Loop #87,Anchorage,AK,99502,459900,3,3.0,Anchorage Municipality,1529,,2020,1,301,298,Active,,,https://www.redfin.com/AK/Anchorage/8689-Dry-Creek-Loop-99502/unit-87/home/177807283,AKMLS,22-63,N,Y,61.139859,-149.9862162
MLS Listing,,Single Family Residential,7721 Randamar Cir,Anchorage,AK,99507,359900,3,1.0,Anchorage Municipality,1196,8751,1983,1,301,,Active,,,https://www.redfin.com/AK/Anchorage/7721-Randamar-Cir-99507/home/131624664,AKMLS,22-61,N,Y,61.1506562,-149.8160301
MLS Listing,,Single Family Residential,647 W 18th Ave,Anchorage,AK,99503,430000,3,2.0,Anchorage Municipality,1588,9053,1962,1,271,,Active,,,https://www.redfin.com/AK/Anchorage/647-W-18th-Ave-99503/home/131484411,AKMLS,22-57,N,Y,61.2040774,-149.8956
MLS Listing,,Single Family Residential,8747 Brookridge Dr,Anchorage,AK,99504,359000,3,2.0,Anchorage Municipality,1856,4198,1996,1,193,,Active,,,https://www.redfin.com/AK/Anchorage/8747-Brookridge-Dr-99504/home/131528645,AKMLS,22-56,N,Y,61.1929669,-149.7210419
MLS Listing,,Single Family Residential,7334 Zurich St,Anchorage,AK,99507,515000,4,4.0,Anchorage Municipality,2095,8450,2021,1,246,,Active,,,https://www.redfin.com/AK/Anchorage/7334-Zurich-St-99507/home/177805022,AKMLS,22-49,N,Y,61.154142,-149.8385659
MLS Listing,,Single Family Residential,22640 Knik Vista St,Chugiak,AK,99567,535000,4,3.0,Anchorage Municipality,2298,24680,1998,1,233,,Active,,,https://www.redfin.com/AK/Chugiak/22640-Knik-Vista-St-99567/home/131936804,AKMLS,22-44,N,Y,61.425086,-149.4812071
MLS Listing,,Condo/Co-op,5018 E 43rd Ave,Anchorage,AK,99508,109900,2,2.0,Anchorage Municipality,768,,1982,1,143,310,Active,,,https://www.redfin.com/AK/Anchorage/5018-E-43rd-Ave-99508/home/131979456,AKMLS,22-43,N,Y,61.1812681,-149.7872244
MLS Listing,,Vacant Land,18509 Potter Glen Cir,Anchorage,AK,99516,139900,0,,Anchorage Municipality,,47306,,1,,26,Active,,,https://www.redfin.com/AK/Anchorage/18509-Potter-Glen-Cir-99516/home/166639641,AKMLS,22-36,N,Y,61.053576,-149.785322
MLS Listing,,Single Family Residential,18550 Chekok Cir,Eagle River,AK,99577,272500,3,2.0,Anchorage Municipality,1264,4063,1982,1,216,75,Active,,,https://www.redfin.com/AK/Eagle-River/18550-Chekok-Cir-99577/home/131641039,AKMLS,22-34,N,Y,61.3077171,-149.536182
MLS Listing,,Single Family Residential,1503 Nunaka Dr,Anchorage,AK,99504,299900,4,2.0,Anchorage Municipality,1508,7900,1953,2,199,,Active,,,https://www.redfin.com/AK/Anchorage/1503-Nunaka-Dr-99504/home/131927575,AKMLS,22-32,N,Y,61.2069731,-149.7697301
MLS Listing,,Condo/Co-op,4511 Folker St Unit 41A,Anchorage,AK,99507,112000,1,2.0,Anchorage Municipality,630,,1975,2,178,190,Active,,,https://www.redfin.com/AK/Anchorage/4511-Folker-St-99507/unit-41A/home/131485592,AKMLS,22-30,N,Y,61.1798135,-149.830362
MLS Listing,,Condo/Co-op,7558 Foxridge Way Unit 6H,Anchorage,AK,99518,172000,2,2.0,Anchorage Municipality,743,,1982,3,231,300,Active,,,https://www.redfin.com/AK/Anchorage/7558-Foxridge-Way-99518/unit-6-H/home/131229866,AKMLS,22-15,N,Y,61.152722,-149.885959
