SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,701 Royal Ct #304,Charlotte,NC,28202,299900,1,1.0,Royal Court,847,,2009,1,354,278,Active,,,https://www.redfin.com/NC/Charlotte/701-Royal-Ct-28202/unit-304/home/44176197,CANOPYMLS,3816895,N,Y,35.2161497,-80.8447849
MLS Listing,,Single Family Residential,5040 Cheviot Rd,Charlotte,NC,28269,375000,3,2.0,Allen Hills,1721,18295,2020,5,218,,Active,,,https://www.redfin.com/NC/Charlotte/5040-Cheviot-Rd-28269/home/177791993,CANOPYMLS,3816235,N,Y,35.2903445,-80.8136729
MLS Listing,,Single Family Residential,5909 Marshbank Ln,Charlotte,NC,28269,490000,4,2.5,Highland Creek,2785,13503,1996,29,176,54,Active,,,https://www.redfin.com/NC/Charlotte/5909-Marshbank-Ln-28269/home/43883673,CANOPYMLS,3811560,N,Y,35.3781038,-80.7551959
MLS Listing,,Single Family Residential,1412 N Caldwell St,Charlotte,NC,28206,1099000,4,3.5,Optimist Park,3675,5227,2022,1,299,,Active,,,https://www.redfin.com/NC/Charlotte/1412-N-Caldwell-St-28206/home/44123135,CANOPYMLS,3816960,N,Y,35.2346446,-80.8235271
MLS Listing,,Single Family Residential,10726 Roxbury Ct,Charlotte,NC,28214,334000,3,2.5,Northwoods,1838,13503,1991,1,182,30,Active,,,https://www.redfin.com/NC/Charlotte/10726-Roxbury-Ct-28214/home/43889107,CANOPYMLS,3816654,N,Y,35.3052913,-80.9696872
MLS Listing,,Single Family Residential,9100 Old Ash Ct,Charlotte,NC,28216,250000,3,2.0,Mcintyre,1564,7013,2005,1,160,53,Active,,,https://www.redfin.com/NC/Charlotte/9100-Old-Ash-Ct-28216/home/44108317,CANOPYMLS,3817786,N,Y,35.340952,-80.8629674
MLS Listing,,Single Family Residential,8233 Kings Creek Dr,Charlotte,NC,28273,320000,4,3.5,Kings Creek,1815,7840,2005,1,176,17,Active,,,https://www.redfin.com/NC/Charlotte/8233-Kings-Creek-Dr-28273/home/44123908,CANOPYMLS,3817177,N,Y,35.1341067,-80.8859653
MLS Listing,,Single Family Residential,4509 Willard St,Charlotte,NC,28208,320000,3,2.0,Thomasboro,1350,8276,2022,1,237,,Pre On-Market,,,https://www.redfin.com/NC/Charlotte/4509-Willard-St-28208/home/43913416,CANOPYMLS,3817519,N,Y,35.259695,-80.8986199
MLS Listing,,Single Family Residential,2525 Morrocroft Ln,Charlotte,NC,28211,2650000,4,4.5,Village Of Morrocroft,5935,19602,2004,1,447,175,Pre On-Market,,,https://www.redfin.com/NC/Charlotte/2525-Morrocroft-Ln-28211/home/43997201,CANOPYMLS,3817407,N,Y,35.1587167,-80.8225106
MLS Listing,,Single Family Residential,2539 Anna Garrison Rd,Charlotte,NC,28206,305000,3,2.5,Alexander Park,1773,4356,2008,1,172,17,Pre On-Market,,,https://www.redfin.com/NC/Charlotte/2539-Anna-Garrison-Rd-28206/home/44159648,CANOPYMLS,3814107,N,Y,35.2634123,-80.7979151
