SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,411 Hobron Ln #1012,Honolulu,HI,96815,499000,1,1.0,Waikiki,552,70611,1974,11,904,714,Active,,,http://www.redfin.com/HI/Honolulu/411-Hobron-Ln-96815/unit-1012/home/63847865,HiCentral MLS,202118901,N,Y,21.2865092,-157.8364397
MLS Listing,,Condo/Co-op,1717 Mott Smith Dr #902,Honolulu,HI,96822,479000,2,2.0,Makiki Area,882,113082,1976,14,543,1378,Active,,,http://www.redfin.com/HI/Honolulu/1717-Mott-Smith-Dr-96822/unit-902/home/88497141,HiCentral MLS,202119626,N,Y,21.3080714,-157.8369055
MLS Listing,,Condo/Co-op,1459 Pele St #401,Honolulu,HI,96813,198000,1,1.0,Punchbowl-lower,327,11282,1974,33,606,594,Active,,,http://www.redfin.com/HI/Honolulu/1459-Pele-St-96813/unit-401/home/63759222,HiCentral MLS,202116623,N,Y,21.3099288,-157.8534157
MLS Listing,,Condo/Co-op,475 Atkinson Dr #1806,Honolulu,HI,96814,430000,1,1.0,Ala Moana,590,17860,1979,55,729,808,Active,,,http://www.redfin.com/HI/Honolulu/475-Atkinson-Dr-96814/unit-1806/home/88492863,HiCentral MLS,202115960,N,Y,21.2898675,-157.8380099
MLS Listing,,Condo/Co-op,411 Hobron Ln #3004,Honolulu,HI,96815,269000,1,1.0,Waikiki,570,,1974,1,472,753,Active,,,http://www.redfin.com/HI/Honolulu/411-Hobron-Ln-96815/unit-3004/home/88500090,HiCentral MLS,202120905,N,Y,21.2865092,-157.8364397
MLS Listing,,Single Family Residential,648 N Kuakini St,Honolulu,HI,96817,899000,3,2.0,Liliha,1256,4250,1959,1,716,,Active,,,http://www.redfin.com/HI/Honolulu/648-N-Kuakini-St-96817/home/88482603,HiCentral MLS,202120791,N,Y,21.325577,-157.8585853
MLS Listing,,Condo/Co-op,425 Ena Rd Unit C404,Honolulu,HI,96815,87000,1,1.0,Waikiki,500,,1958,1,174,560,Active,August-22-2021 02:00 PM,August-22-2021 05:00 PM,http://www.redfin.com/HI/Honolulu/425-Ena-Rd-96815/unit-404C/home/91475105,HiCentral MLS,202120956,N,Y,21.28596,-157.835811
MLS Listing,,Condo/Co-op,1561 Pensacola St #606,Honolulu,HI,96822,485000,2,2.0,Makiki Area,804,34456,1980,1,603,728,Active,,,http://www.redfin.com/HI/Honolulu/1561-Pensacola-St-96822/unit-606/home/91480481,HiCentral MLS,202120729,N,Y,21.3063585,-157.841097
MLS Listing,,Single Family Residential,2652 E Manoa Rd,Honolulu,HI,96822,1750000,5,3.5,Manoa Area,2389,8827,1969,1,733,,Active,,,http://www.redfin.com/HI/Honolulu/2652-E-Manoa-Rd-96822/home/63998386,HiCentral MLS,202120889,N,Y,21.3080095,-157.8144548
MLS Listing,,Condo/Co-op,1718 Anapuni St #501,Honolulu,HI,96822,249777,0,1.0,Makiki Area,492,7754,1974,1,508,472,Active,August-22-2021 02:00 PM,August-22-2021 05:00 PM,http://www.redfin.com/HI/Honolulu/1718-Anapuni-St-96822/unit-501/home/63830213,HiCentral MLS,202120945,N,Y,21.304958,-157.8330166
MLS Listing,,Condo/Co-op,444 Nahua St #1004,Honolulu,HI,96815,385000,1,1.0,Waikiki,521,23348,1976,1,739,744,Active,,,http://www.redfin.com/HI/Honolulu/444-Nahua-St-96815/unit-1004/home/88503084,HiCentral MLS,202120942,N,Y,21.2801347,-157.8248664
MLS Listing,,Condo/Co-op,1425 Ward Ave Unit 16E,Honolulu,HI,96822,699777,2,2.0,Punchbowl Area,1450,23522,1968,1,483,699,Active,August-22-2021 02:00 PM,August-22-2021 05:00 PM,http://www.redfin.com/HI/Honolulu/1425-Ward-Ave-96822/unit-16E/home/63749363,HiCentral MLS,202120939,N,Y,21.306484,-157.84792
MLS Listing,,Condo/Co-op,583 Kamoku St #2805,Honolulu,HI,96826,880000,3,2.0,Kapiolani,1187,119006,1978,1,741,1441,Active,,,http://www.redfin.com/HI/Honolulu/583-Kamoku-St-96826/unit-2805/home/63838665,HiCentral MLS,202120839,N,Y,21.2858488,-157.8234843
MLS Listing,,Single Family Residential,1229 Kaiama Pl,Honolulu,HI,96825,1588000,5,4.0,Kamiloiki,2211,6410,2021,1,718,,Active,,,http://www.redfin.com/HI/Honolulu/1229-Kaiama-Pl-96825/home/88534101,HiCentral MLS,202120927,N,Y,21.310819,-157.683832
MLS Listing,,Condo/Co-op,778 Wiliwili St #203,Honolulu,HI,96826,559000,3,3.0,Moiliili,1177,9932,1972,1,475,570,Active,,,http://www.redfin.com/HI/Honolulu/778-Wiliwili-St-96826/unit-203/home/63800305,HiCentral MLS,202120550,N,Y,21.2913277,-157.830494
MLS Listing,,Condo/Co-op,,Honolulu,HI,96818,355000,2,1.0,,683,57456,1973,1,520,397,Active,,,http://www.redfin.com/HI/Honolulu/Undisclosed-address-96818/home/176133663,HiCentral MLS,202120844,N,Y,21.34853,-157.9583246
MLS Listing,,Condo/Co-op,1605 Pensacola St #306,Honolulu,HI,96822,365000,2,1.0,Makiki,740,16117,1969,1,493,545,Active,,,http://www.redfin.com/HI/Honolulu/1605-Pensacola-St-96822/unit-306/home/63762275,HiCentral MLS,202120846,N,Y,21.3072639,-157.8407943
MLS Listing,,Condo/Co-op,360D Haleloa Pl Unit A404,Honolulu,HI,96821,749000,3,2.5,Kuliouou,1449,94220,1973,1,517,823,Active,,,http://www.redfin.com/HI/Honolulu/360D-Haleloa-Pl-96821/unit-A404/home/88528421,HiCentral MLS,202120675,N,Y,21.291203,-157.72304
MLS Listing,,Condo/Co-op,2045 Kalakaua Ave #1601,Honolulu,HI,96815,380000,0,1.0,Waikiki,313,26164,1971,1,1214,729,Active,,,http://www.redfin.com/HI/Honolulu/2045-Kalakaua-Ave-96815/unit-1601/home/63808895,HiCentral MLS,202120848,N,Y,21.2836597,-157.8322249
MLS Listing,,Condo/Co-op,469 Ena Rd #1106,Honolulu,HI,96815,500000,1,1.0,Waikiki,725,113169,1971,1,690,437,Active,,,http://www.redfin.com/HI/Honolulu/469-Ena-Rd-96815/unit-1106/home/63834714,HiCentral MLS,202120900,N,Y,21.2871225,-157.8351357
MLS Listing,,Condo/Co-op,2410 Cleghorn St #1604,Honolulu,HI,96815,469000,1,1.0,Waikiki,585,,1978,1,802,986,Active,,,http://www.redfin.com/HI/Honolulu/2410-Cleghorn-St-96815/unit-1604/home/63801490,HiCentral MLS,202120597,N,Y,21.2777759,-157.8229336
MLS Listing,,Condo/Co-op,430 Lewers St Unit EWA/1601,Honolulu,HI,96815,629000,2,2.0,Waikiki,965,45259,1976,1,652,1054,Active,,,http://www.redfin.com/HI/Honolulu/430-Lewers-St-96815/unit-EWA-1601/home/176132083,HiCentral MLS,202120853,N,Y,21.2824465,-157.8280566
MLS Listing,,Condo/Co-op,747 Kinau St Unit EWA7,Honolulu,HI,96813,320000,2,1.0,Kapio/kinau/ward,602,,1966,1,532,447,Active,,,http://www.redfin.com/HI/Honolulu/747-Kinau-St-96813/unit-EWA7/home/88486434,HiCentral MLS,202120875,N,Y,21.305152,-157.851034
MLS Listing,,Single Family Residential,2309 St Louis Dr,Honolulu,HI,96816,1000000,2,1.5,St. Louis,1176,5507,1951,1,850,,Active,,,http://www.redfin.com/HI/Honolulu/2309-St-Louis-Dr-96816/home/88521814,HiCentral MLS,202120501,N,Y,21.3012821,-157.8022321
