Age	Left%
18	44
18	69
21	47
18	69
19	53
20	41
21	53
19	56
21	66
21	63
19	57
20	38
20	63
19	31
19	38
20	50
20	50
21	41
20	46
21	90
20	22
20	53
19	33
20	47
20	44
18	59
21	53
22	66
21	91
22	44
21	72
19	44
19	81
20	63
18	16
18	38
19	44
20	34
18	44
21	19
19	38
20	16
18	41
17	66
19	53
18	34
19	63
20	69
20	69
19	56
19	50
20	66
19	44
19	28
21	66
21	41
19	44
18	50
21	69
19	66
20	41
19	19
19	50
21	34
20	41
20	47
20	38
20	34
20	59
21	50
19	31
18	31
19	59
19	53
19	34
20	72
18	41
19	53
19	22
19	47
19	53
19	25
19	47
19	50
20	44
20	81
19	53
18	44
19	25
