Breakfast	GPA
Yes	3.75
Yes	4
Yes	3.4
Yes	3.96
Yes	3.57
Yes	3.1
Yes	3.7
Yes	3.46
Yes	3.8
Yes	3.83
Yes	3.65
Yes	3.4
Yes	3.6
Yes	3.93
Yes	3.28
Yes	3.3
Yes	3.36
Yes	3.76
Yes	3.8
Yes	3.2
Yes	3.85
Yes	3.6
Yes	3.1
Yes	3.87
Yes	3.5
Yes	3.23
Yes	3.92
Yes	3.99
Yes	3.51
Yes	3.57
Yes	3.55
Yes	3.98
Yes	3.69
Yes	3.07
Yes	3.65
Yes	3.4
Yes	3
Yes	3.25
Yes	3.87
Yes	3.55
Yes	3.56
Yes	3.83
Yes	3.93
Yes	3.2
Yes	3.68
Yes	3.5
Yes	3.5
Yes	3.95
Yes	3.75
Yes	3.1
Yes	2.6
Yes	3.96
Yes	3.85
Yes	3.2
Yes	3
Yes	3.49
Yes	3.28
Yes	3.87
Yes	3.9
Yes	3.65
Yes	3.5
Yes	3.8
Yes	3.3
No	4
No	3.39
No	3.2
No	3.6
No	3.85
No	3.7
No	3.75
No	3.87
No	3
No	4
No	3.9
No	4
No	3.8
No	2.7
No	2.7
No	3.1
No	3.77
No	3.4
No	3.9
No	3.9
No	3.2
No	3.19
No	3
No	3
No	2.65
No	3
No	3.32
No	3.9
No	3.87
No	3.32
No	3
No	2.5
No	3.5
No	4
No	3.2
No	3.2
No	3.6
No	3.6
No	3.1
No	2.85
No	3.8
No	3.47
No	2.95
