cellphone	height
Basic	69
iPhone	68
iPhone	66
SmartPhone	76
iPhone	71
iPhone	68
Basic	73
SmartPhone	71
iPhone	64
iPhone	67
iPhone	74
iPhone	62
SmartPhone	71
iPhone	69
iPhone	70
SmartPhone	67
Basic	68
Basic	68
SmartPhone	69
Basic	62
iPhone	74
Basic	69
iPhone	74
SmartPhone	68
iPhone	71
iPhone	74
Basic	66
SmartPhone	71
iPhone	75
SmartPhone	72
SmartPhone	71
iPhone	66
SmartPhone	72.5
iPhone	71
iPhone	72
iPhone	70
iPhone	64
iPhone	63
Basic	66.5
Basic	62
iPhone	63
Basic	67
iPhone	60
iPhone	61
Basic	64
Basic	66
SmartPhone	70
iPhone	68
iPhone	61
iPhone	68
SmartPhone	70
iPhone	66
iPhone	59
iPhone	64
SmartPhone	71
iPhone	74
iPhone	65
iPhone	67
iPhone	74
iPhone	70
iPhone	64
iPhone	71
SmartPhone	70
iPhone	69
iPhone	62
iPhone	68
iPhone	60
iPhone	69
iPhone	71
Basic	70
SmartPhone	70
iPhone	61
iPhone	64
iPhone	68
iPhone	70
iPhone	65
iPhone	62
iPhone	67
SmartPhone	65
Basic	69
iPhone	66
iPhone	66
iPhone	67
iPhone	55
iPhone	55
SmartPhone	71
iPhone	63
SmartPhone	75
iPhone	67
iPhone	67
iPhone	68
iPhone	71
iPhone	72
Basic	67
