cellphone	sleep
Basic	7
iPhone	8.5
iPhone	7
SmartPhone	8
iPhone	8
iPhone	6.5
Basic	6
SmartPhone	7.25
iPhone	6.5
iPhone	7
iPhone	7.75
iPhone	9
SmartPhone	7
iPhone	8.5
iPhone	6
SmartPhone	6.5
Basic	7.5
Basic	6.5
SmartPhone	7.25
Basic	8
iPhone	8
Basic	4
iPhone	7
SmartPhone	7.75
iPhone	8
iPhone	6.5
Basic	5.25
SmartPhone	7
iPhone	5
SmartPhone	8.75
SmartPhone	7.75
iPhone	7
SmartPhone	7
iPhone	6
iPhone	6
iPhone	6.5
iPhone	7.5
iPhone	7.45
Basic	6.25
Basic	8
iPhone	7.5
Basic	5.5
iPhone	8
iPhone	7
Basic	6
Basic	6.5
SmartPhone	6
iPhone	7
iPhone	7.5
iPhone	8
SmartPhone	6
iPhone	7
iPhone	8
iPhone	7
SmartPhone	8.5
iPhone	7.25
iPhone	7
iPhone	7
iPhone	7.5
iPhone	8
iPhone	4.5
iPhone	8
SmartPhone	7
iPhone	8
iPhone	7
iPhone	8
iPhone	7
iPhone	7.5
iPhone	5.5
Basic	5.5
SmartPhone	7.75
iPhone	6
iPhone	8
iPhone	5
iPhone	7
iPhone	7.75
iPhone	8.25
iPhone	5.5
SmartPhone	9
Basic	7
iPhone	8.75
iPhone	7.5
iPhone	8
iPhone	10
iPhone	10
SmartPhone	6.5
iPhone	8
SmartPhone	9.5
iPhone	7.25
iPhone	6
iPhone	8
iPhone	6.25
iPhone	7.25
Basic	7
