Class	Extracurricular
Fr	15
Fr	80
So	30
Jr	40
Sr	12
Sr	100
Jr	8
Fr	16
Jr	10
Jr	25
Jr	15
So	9
Fr	50
So	16
So	10
Fr	70
Fr	16
Fr	50
Jr	30
Jr	2
Sr	90
Jr	10
So	15
Sr	25
So	10
Jr	10
Fr	80
So	80
Fr	20
Jr	0
Jr	84
Jr	12
Fr	8
So	50
Fr	12
Fr	30
Fr	20
Jr	0
So	15
Jr	30
Sr	40
Sr	52
So	110
Sr	27
Fr	20
Sr	30
Fr	48
Fr	0
Fr	16
Fr	50
Jr	30
So	23
Fr	10
So	20
Jr	20
Fr	15
So	10
Jr	60
Fr	5
So	8
So	20
So	30
So	28
Jr	15
Jr	80
Jr	21
Sr	100
Jr	120
Jr	10
Jr	24
Fr	20
Jr	15
So	30
Jr	30
Jr	60
Sr	50
Fr	0
Jr	90
Jr	120
Fr	5
Sr	10
So	30
Fr	0
Sr	15
Sr	15
Jr	10
