Blue	Red
3	5
6	3
5	5
7	7
12	6
4	2
5	1
10	10
6	3
4	3
7	7
6	5
5	8
5	4
7	4
8	4
8	8
3	2
7	11
3	5
9	7
5	4
12	9
4	5
6	6
8	6
7	8
6	7
4	7
6	3
3	5
5	3
6	5
2	1
6	8
6	6
5	8
7	4
4	5
10	11
6	9
4	3
9	2
2	2
4	5
7	6
7	6
4	7
6	4
6	8
8	7
7	5
4	4
5	2
8	8
7	9
6	5
6	12
2	5
6	7
6	6
10	10
6	6
3	4
4	4
11	8
8	7
3	4
6	9
9	8
2	3
8	5
2	2
7	6
3	2
3	3
8	10
5	8
4	6
5	4
6	10
11	8
8	6
9	7
8	8
8	8
6	8
7	1
5	7
4	7
8	8
7	4
5	1
6	7
3	6
6	3
9	8
6	3
4	4
6	6
9	8
6	7
9	8
6	6
9	11
9	7
5	5
10	8
2	4
2	2
11	12
10	7
7	7
9	5
3	2
8	9
8	6
8	5
2	3
8	4
3	1
3	7
6	3
5	3
9	7
6	4
7	6
3	5
6	7
4	7
3	4
8	7
6	7
8	8
2	5
5	6
6	7
7	5
7	4
7	6
5	4
12	9
