DAPIQ	WASI
86	109
88	103
89	93
92	91
93	91
94	120
94	104
94	84
94	98
95	97
97	107
97	117
97	88
97	109
97	105
97	104
97	90
97	102
97	124
98	91
99	111
99	118
99	109
101	89
101	110
101	98
101	106
101	99
101	103
101	103
101	97
101	115
101	107
101	109
102	110
102	104
102	118
102	108
102	106
102	89
102	116
104	105
104	113
104	108
104	107
104	104
104	112
104	90
104	103
104	105
104	102
104	109
104	118
104	90
106	95
106	96
106	106
106	112
106	104
106	110
106	104
106	113
106	109
106	97
106	103
106	127
108	88
108	114
109	109
109	112
109	106
109	92
109	112
109	99
109	112
110	95
110	107
111	117
111	115
111	93
111	93
111	103
112	87
112	94
112	110
113	128
113	110
113	108
113	88
113	125
115	94
116	101
116	109
116	96
118	106
119	103
119	114
121	96
125	105
129	114
