DAPIQ	WPPSI
67	85
72	107
73	102
79	95
79	108
83	97
83	103
84	113
88	88
89	72
89	90
92	113
92	113
93	80
93	90
93	103
93	112
93	113
93	123
96	87
96	100
96	103
96	107
97	85
97	93
97	93
97	95
97	98
97	102
97	105
97	107
97	117
97	120
98	87
98	108
98	115
100	82
101	93
101	102
102	112
103	87
103	115
106	100
106	107
106	108
106	112
106	120
107	110
108	93
108	98
108	110
108	120
109	105
110	90
110	97
110	103
110	121
111	97
111	97
111	97
111	100
111	110
111	113
111	117
113	107
114	100
114	108
115	110
115	117
116	95
116	108
116	110
116	115
117	115
119	74
119	97
119	103
119	108
119	108
119	115
120	120
121	100
121	107
121	107
121	108
121	118
121	118
122	100
122	107
122	108
122	123
123	87
123	121
124	95
124	108
125	121
135	95
139	128
140	108
142	118
