height	BMI
69	19.9
68	22.8
66	16.9
76	20.7
71	23
68	22
73	23.1
71	24.5
64	22.8
67	20.4
74	23.1
62	21
71	20.2
69	23.6
57	31.4
70	19.4
67	24.3
68	19
68	22.8
69	24.4
62	25.6
74	23.8
69	25.1
74	21.2
68	21.3
71	27.2
66	21.8
71	23
75	23.7
72	23.1
71	19.5
66	22.1
72.5	20.3
71	20.2
72	20.3
70	24.4
64	29.7
63	21.6
66.5	23.5
62	22.5
63	22.1
67	20.4
60	18.9
61	20.4
64	20.6
66	23.4
70	23
68	31.5
61	20.8
68	27.4
70	21.5
66	25.2
59	28.3
64	23.2
71	20.2
74	19.3
65	21.1
67	23.5
74	22.5
70	23
64	17.5
71	22.3
70	20.8
69	25.8
62	19.2
68	20.5
60	23.4
69	27.3
71	21.8
70	21.5
70	20.7
61	22.7
64	20.3
68	24.3
70	22.2
65	27.3
62	28.3
67	19.6
65	18.8
69	22.1
66	18.1
66	21.8
67	19.6
55	27.9
55	27.9
71	22.3
63	28.3
75	25
67	20.4
67	34.5
68	18.2
71	26.5
72	22.4
67	25.1
