PoliticalInclination	SeatBeltLaw
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
republican	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
democrat	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
independent	Agree
