Sleep	Time
7.0	65.8
6.0	106.7
5.0	61.5
7.0	136.6
9.0	111.05
6.0	136.46
7.0	121.47
8.0	113.42
5.0	99.01
7.0	112.57
5.0	249.31
7.0	237.1
8.5	72.03
7.5	159.2
8.0	129
9.0	357.89
8.0	55.56
9.0	121.5
8.0	99.29
7.0	127.12
7.0	155.87
7.5	268.42
7.0	139.97
8.0	115.03
7.0	140.53
7.0	62.18
6.0	163.38
7.0	301.93
6.5	108.81
7.5	218.7
6.0	182.3
7.0	50.9
7.0	101.37
6.0	145.9
5.0	106
5.0	148.67
6.0	180.92
9.0	82.15
6.0	63.27
6.0	69.6
6.0	99.2
6.0	136.28
7.0	116.7
7.0	88.9
5.5	254.42
8.0	131.4
4.0	93.6
5.0	195.7
5.0	221.18
7.0	51.7
5.0	206.4
7.0	80.2
6.5	129.8
5.5	355.5
8.0	131.58
7.0	381.93
7.0	196.1
7.0	327.6
7.0	131.41
7.0	78.99
8.0	106
9.0	57.42
8.0	113.6
2.0	178.53
