NoMusic	Music
23.456	23.254
30.008	23.023
18.976	18.671
17.16	14.829
21.378	22.208
26.136	23.305
24.464	19.538
19.814	18.47
17.137	15.848
21.034	23.269
18.525	18.462
21.571	20.178
23.316	21.338
23.603	27.216
18.822	17.63
24.505	25.427
26.915	20.795
18.355	15.959
26.694	26.667
20.208	18.118
16.219	16.047
23.761	22.153
22.189	20.083
20.766	22.91
17.772	18.813
37.358	27.188
30.985	25.763
17.34	15.956
20.234	18.781
17.379	18.919
20.347	19.237
21.727	18.81
19.66	18.749
22.283	21.486
18.972	17.175
19.093	16.073
21.348	18.961
24.829	20.196
