VideoGame	ChiliSauce
neutral	9
neutral	1
neutral	10
neutral	14
neutral	10
neutral	20
neutral	7
neutral	1
neutral	23
neutral	9
neutral	21
neutral	20
neutral	2
neutral	20
neutral	5
neutral	10
neutral	22
neutral	20
neutral	19
neutral	2
neutral	10
neutral	3
neutral	7
neutral	11
neutral	6
neutral	9
neutral	9
neutral	10
neutral	1
neutral	5
neutral	1
neutral	5
neutral	1
neutral	9
neutral	0
neutral	38
neutral	1
neutral	5
neutral	0.5
neutral	0.5
neutral	5
neutral	12
neutral	12
neutral	2
neutral	7
neutral	11
neutral	6
neutral	1
neutral	11
neutral	6
neutral	13
neutral	8
violent	42
violent	4
violent	27
violent	2
violent	10
violent	5
violent	4
violent	14
violent	4
violent	6
violent	1
violent	7
violent	37
violent	7
violent	23
violent	55
violent	14
violent	14
violent	9
violent	6
violent	21
violent	16
violent	25
violent	1
violent	4
violent	1
violent	4
violent	10
violent	2
violent	11
violent	63
violent	3
violent	11
violent	6
violent	5
violent	10
violent	19
violent	35
violent	5
violent	12
violent	32
violent	18
violent	22
violent	14
violent	47
violent	25
violent	7
violent	52
violent	18
