catID	BodyMass(g)	HindLimbLength(cm)	MuscleMass(g)	%BodyFat	TakeoffVelocity(cm/sec)	"sex(0=f,1=m)"
1	3640	29.1	51.15	29	334.5	0
2	2670	28.55	46.05	17	387.3	0
3	5600	31.74	95.9	31	410.8	1
4	4130	26.9	55.65	39	318.6	0
5	3020	26.11	57.2	15	368.7	0
6	2660	26.69	48.67	11	358.8	0
7	3240	26.74	64.55	21	344.6	0
8	5140	27.71	78.8	35	324.6	1
9	3690	25.47	54.6	33	301.4	0
10	3620	28.18	55.5	15	331.8	0
11	5310	28.45	68.8	42	312.6	0
12	5560	28.65	79.8	37	316.8	1
13	3970	29.82	69.4	20	375.6	1
14	3770	26.66	60.25	26	372.4	0
15	5100	27.84	60.7	41	314.3	0
16	2950	27.89	55.65	25	367.5	0
17	7930	30.58	98.95	48	286.3	1
18	3550	28.06	79.25	16	352.5	0
