Duration	FeedEvents	WhaleType
8.78	12.5	Rorqual
8.31	11.5	Rorqual
9.33	11	Rorqual
7.69	10	Rorqual
7.44	10	Rorqual
7.08	10	Rorqual
17.75	3.5	Rorqual
22.09	1	Rorqual
15.25	6.5	Rorqual
14.33	6	Rorqual
12.75	6.5	Rorqual
10.71	8	Rorqual
6.26	9	Rorqual
8.56	8	Rorqual
10.19	7	Rorqual
9.17	7	Rorqual
7.89	7	Rorqual
6.66	8	Rorqual
5.85	8	Rorqual
4.98	8.5	Rorqual
3.04	9	Rorqual
2.57	8	Rorqual
4.36	7	Rorqual
12.58	3	Rorqual
12.33	5	Rorqual
11	5	Rorqual
9.73	6	Rorqual
9.32	6	Rorqual
8.45	6	Rorqual
5.84	6	Rorqual
5.17	6	Rorqual
4.92	6	Rorqual
4.82	6	Rorqual
2.77	5	Rorqual
5.79	5	Rorqual
6.5	5	Rorqual
1.43	3	Rorqual
2.15	3	Rorqual
2.51	3	Rorqual
2.97	3	Rorqual
3.58	4	Rorqual
3.94	4	Rorqual
4.96	4	Rorqual
5.38	5.5	Rorqual
5.73	4.5	Rorqual
6.04	4	Rorqual
6.45	4	Rorqual
6.86	4	Rorqual
7.47	3.5	Rorqual
7.68	5	Rorqual
7.93	5	Rorqual
8.34	5	Rorqual
8.5	5	Rorqual
8.8	5	Rorqual
9.67	5	Rorqual
9.77	4.5	Rorqual
9.52	4.5	Rorqual
8.9	4.5	Rorqual
7.73	4	Rorqual
8.03	4	Rorqual
8.29	4	Rorqual
8.49	4	Rorqual
8.95	4	Rorqual
9.36	4	Rorqual
9.72	4	Rorqual
10.28	4	Rorqual
9.52	3.5	Rorqual
11.15	3	Rorqual
10.43	1.5	Rorqual
10.02	2	Rorqual
9	3.5	Rorqual
8.59	3.5	Rorqual
3.89	3	Rorqual
4.35	3	Rorqual
4.19	3.5	Rorqual
4.81	3	Rorqual
5.52	3	Rorqual
5.68	3	Rorqual
5.93	3	Rorqual
6.19	3	Rorqual
6.5	3	Rorqual
6.96	3	Rorqual
7.47	3	Rorqual
7.72	3	Rorqual
8.03	3	Rorqual
8.34	3	Rorqual
8.75	3	Rorqual
9	3	Rorqual
9.41	3	Rorqual
9.82	3	Rorqual
9.36	2	Rorqual
8.95	2	Rorqual
8.28	2	Rorqual
7.57	2	Rorqual
7.11	2	Rorqual
6.85	2.5	Rorqual
5.83	2.5	Rorqual
6.44	2	Rorqual
2.35	2.5	Rorqual
1.07	2	Rorqual
1.33	2	Rorqual
1.94	2	Rorqual
3.07	2	Rorqual
4.09	2	Rorqual
4.45	2	Rorqual
4.86	2	Rorqual
5.21	2	Rorqual
5.57	2	Rorqual
5.67	1.5	Rorqual
4.75	1.5	Rorqual
0.61	1	Rorqual
1.17	1	Rorqual
1.53	1	Rorqual
1.94	1	Rorqual
2.35	1	Rorqual
2.7	1	Rorqual
3.06	1	Rorqual
3.37	1	Rorqual
4.6	1	Rorqual
4.14	1	Rorqual
5.47	1	Rorqual
0.56	3	Odontocete
0.81	2	Odontocete
0.67	4	Odontocete
0.82	4	Odontocete
0.72	5	Odontocete
3.18	4.5	Odontocete
3.22	4	Odontocete
3.58	3.5	Odontocete
2.45	2	Odontocete
3.37	1.5	Odontocete
4.34	1	Odontocete
5.01	1	Odontocete
3.63	3	Odontocete
4.96	3	Odontocete
4.91	3.5	Odontocete
5.12	3.5	Odontocete
5.78	3.5	Odontocete
5.73	4	Odontocete
4.4	5	Odontocete
4.25	4	Odontocete
6.2	5.5	Odontocete
5.18	7	Odontocete
11.15	4	Odontocete
13.25	2.5	Odontocete
4.8	1.5	Odontocete
5.83	2	Odontocete
12.69	6	Odontocete
14.23	5.5	Odontocete
18.01	4	Odontocete
12.08	7	Odontocete
10.76	8	Odontocete
6.77	9	Odontocete
5.71	13	Odontocete
11.33	12.5	Odontocete
13.23	13	Odontocete
14.65	10	Odontocete
11.37	9	Odontocete
21.34	6	Odontocete
28.08	3.5	Odontocete
28.3	6	Odontocete
29.88	4.5	Odontocete
30.24	4.5	Odontocete
31.15	3	Odontocete
32.95	4	Odontocete
28.76	8	Odontocete
28.62	10	Odontocete
40.23	9	Odontocete
40.03	11	Odontocete
43	12	Odontocete
47.34	10	Odontocete
47.04	11	Odontocete
46.37	12	Odontocete
45.51	13.5	Odontocete
40.71	15.5	Odontocete
42.5	16	Odontocete
45.41	15	Odontocete
41.02	18	Odontocete
44.1	21	Odontocete
47.07	23	Odontocete
48.04	23	Odontocete
50.04	24	Odontocete
49.27	21.5	Odontocete
48.24	21	Odontocete
47.93	20	Odontocete
47.21	19	Odontocete
47.11	18	Odontocete
46.75	17.5	Odontocete
48.08	16.5	Odontocete
48.64	16.5	Odontocete
48.07	15.5	Odontocete
49.25	15.5	Odontocete
51.55	15.5	Odontocete
51.91	16.5	Odontocete
52.07	18	Odontocete
53.6	16	Odontocete
53.75	15	Odontocete
57.54	18	Odontocete
54.39	22.5	Odontocete
51.07	26	Odontocete
57.07	29	Odontocete
58.1	34	Odontocete
48.13	35	Odontocete
48.08	34	Odontocete
44.13	32	Odontocete
41.68	32	Odontocete
45.04	43	Odontocete
61.17	34	Odontocete
62.05	35	Odontocete
67.88	35	Odontocete
63.13	21.5	Odontocete
76.47	52	Odontocete
3.9	16	Odontocete
4.38	5	Odontocete
3.05	2	Odontocete
