Year	Height(cm)
1881	177
1882	177
1883	177
1884	177
1885	177
1886	177
1887	180
1888	178
1889	177
1890	175
1896	191
1897	185
1898	185
1899	185
1900	185
1902	177
1903	177
1904	177
1905	177
1906	177
1907	180
1910	187
1911	187
1912	187
1913	187
1914	180
1919	173
1920	188
1921	188
1922	173
1923	173
1924	186
1925	170
1926	186
1927	168
1928	170
1929	168
1930	188
1932	189
1933	185
1934	183
1935	183
1936	183
1937	185
1938	185
1939	170
1946	196
1947	188
1948	191
1951	191
1952	180
1953	185
1954	180
1955	185
1956	179
1957	179
1958	178
1959	179
1960	185
1961	173
1962	173
1963	173
1964	183
1965	183
1966	170
1967	183
1968	173
1969	173
1970	183
1971	183
1972	193
1973	175
1974	177
1975	188
1976	180
1977	180
1978	180
1979	180
1980	180
1981	180
1982	177
1983	180
1984	180
1985	190
1986	190
1987	183
1988	188
1989	190
1990	188
1991	193
1992	180
1993	185
1994	185
1995	185
1996	196
1997	185
1998	185
1999	185
2000	185
2001	193
2002	180
2003	185
2004	185
2005	185
2006	185
2007	185
2008	185
2009	185
2010	185
2011	188
2012	185
2013	191
2014	188
2015	188
2016	191
2017	185
2018	188
2019	188
1887	169
1888	169
1891	169
1892	169
1893	169
1905	164
1907	164
1919	178
1920	178
1921	178
1922	178
1923	178
1925	178
1927	170
1928	170
1929	170
1930	170
1932	170
1933	170
1935	170
1938	170
1946	166
1947	165
1948	171
1949	171
1950	171
1952	165
1953	165
1954	165
1955	171
1956	165
1957	180
1958	180
1959	170
1960	170
1963	175
1964	170
1965	175
1966	164
1967	164
1968	164
1969	162.5
1970	175
1971	168
1972	164
1973	164
1974	168
1975	164
1976	168
1977	170
1978	173
1979	173
1980	168
1981	168
1982	173
1983	173
1984	173
1985	173
1986	173
1987	173
1988	176
1989	176
1990	173
1991	176
1992	176
1993	176
1994	173
1995	176
1996	176
1997	170
1998	170
1999	189
2000	185
2001	185
2002	175
2003	175
2004	188
2005	185
2006	175
2007	185
2008	185
2009	175
2010	175
2011	182
2012	175
2013	170
2014	182
2015	175
2016	175
2017	182
2018	173
2019	168
