Year	Height(cm)	Sex
1881	177	M
1882	177	M
1883	177	M
1884	177	M
1885	177	M
1886	177	M
1887	180	M
1888	178	M
1889	177	M
1890	175	M
1896	191	M
1897	185	M
1898	185	M
1899	185	M
1900	185	M
1902	177	M
1903	177	M
1904	177	M
1905	177	M
1906	177	M
1907	180	M
1910	187	M
1911	187	M
1912	187	M
1913	187	M
1914	180	M
1919	173	M
1920	188	M
1921	188	M
1922	173	M
1923	173	M
1924	186	M
1925	170	M
1926	186	M
1927	168	M
1928	170	M
1929	168	M
1930	188	M
1932	189	M
1933	185	M
1934	183	M
1935	183	M
1936	183	M
1937	185	M
1938	185	M
1939	170	M
1946	196	M
1947	188	M
1948	191	M
1951	191	M
1952	180	M
1953	185	M
1954	180	M
1955	185	M
1956	179	M
1957	179	M
1958	178	M
1959	179	M
1960	185	M
1961	173	M
1962	173	M
1963	173	M
1964	183	M
1965	183	M
1966	170	M
1967	183	M
1968	173	M
1969	173	M
1970	183	M
1971	183	M
1972	193	M
1973	175	M
1974	177	M
1975	188	M
1976	180	M
1977	180	M
1978	180	M
1979	180	M
1980	180	M
1981	180	M
1982	177	M
1983	180	M
1984	180	M
1985	190	M
1986	190	M
1987	183	M
1988	188	M
1989	190	M
1990	188	M
1991	193	M
1992	180	M
1993	185	M
1994	185	M
1995	185	M
1996	196	M
1997	185	M
1998	185	M
1999	185	M
2000	185	M
2001	193	M
2002	180	M
2003	185	M
2004	185	M
2005	185	M
2006	185	M
2007	185	M
2008	185	M
2009	185	M
2010	185	M
2011	188	M
2012	185	M
2013	191	M
2014	188	M
2015	188	M
2016	191	M
2017	185	M
2018	188	M
2019	188	M
1887	169	F
1888	169	F
1891	169	F
1892	169	F
1893	169	F
1905	164	F
1907	164	F
1919	178	F
1920	178	F
1921	178	F
1922	178	F
1923	178	F
1925	178	F
1927	170	F
1928	170	F
1929	170	F
1930	170	F
1932	170	F
1933	170	F
1935	170	F
1938	170	F
1946	166	F
1947	165	F
1948	171	F
1949	171	F
1950	171	F
1952	165	F
1953	165	F
1954	165	F
1955	171	F
1956	165	F
1957	180	F
1958	180	F
1959	170	F
1960	170	F
1963	175	F
1964	170	F
1965	175	F
1966	164	F
1967	164	F
1968	164	F
1969	162.5	F
1970	175	F
1971	168	F
1972	164	F
1973	164	F
1974	168	F
1975	164	F
1976	168	F
1977	170	F
1978	173	F
1979	173	F
1980	168	F
1981	168	F
1982	173	F
1983	173	F
1984	173	F
1985	173	F
1986	173	F
1987	173	F
1988	176	F
1989	176	F
1990	173	F
1991	176	F
1992	176	F
1993	176	F
1994	173	F
1995	176	F
1996	176	F
1997	170	F
1998	170	F
1999	189	F
2000	185	F
2001	185	F
2002	175	F
2003	175	F
2004	188	F
2005	185	F
2006	175	F
2007	185	F
2008	185	F
2009	175	F
2010	175	F
2011	182	F
2012	175	F
2013	170	F
2014	182	F
2015	175	F
2016	175	F
2017	182	F
2018	173	F
2019	168	F
