VideoGame	ChiliSauce
violent	42
violent	4
violent	27
violent	2
violent	10
violent	5
violent	4
violent	14
violent	4
violent	6
violent	1
violent	7
violent	37
violent	7
violent	23
violent	55
violent	14
violent	14
violent	9
violent	6
violent	21
violent	16
violent	25
violent	1
violent	4
violent	1
violent	4
violent	10
violent	2
violent	11
violent	63
violent	3
violent	11
violent	6
violent	5
violent	10
violent	19
violent	35
violent	5
violent	12
violent	32
violent	18
violent	22
violent	14
violent	47
violent	25
violent	7
violent	52
violent	18
nonviolent	9
nonviolent	1
nonviolent	10
nonviolent	14
nonviolent	10
nonviolent	20
nonviolent	7
nonviolent	1
nonviolent	23
nonviolent	9
nonviolent	21
nonviolent	20
nonviolent	2
nonviolent	20
nonviolent	5
nonviolent	10
nonviolent	22
nonviolent	20
nonviolent	19
nonviolent	2
nonviolent	10
nonviolent	3
nonviolent	7
nonviolent	11
nonviolent	6
nonviolent	9
nonviolent	9
nonviolent	10
nonviolent	1
nonviolent	5
nonviolent	1
nonviolent	5
nonviolent	1
nonviolent	9
nonviolent	0
nonviolent	38
nonviolent	1
nonviolent	5
nonviolent	0.5
nonviolent	0.5
nonviolent	5
nonviolent	12
nonviolent	12
nonviolent	2
nonviolent	7
nonviolent	11
nonviolent	6
nonviolent	1
nonviolent	11
nonviolent	6
nonviolent	13
nonviolent	8
