Joke	LaughTrack	NoLaughTrack
1	3.22	2.8
2	3.09	2.56
3	3.08	2.65
4	2.53	2.3
5	2.64	2.65
6	3.18	2.65
7	2.8	2.55
8	2.2	2.65
9	3.33	3.09
10	3.89	3.11
11	2.22	3.55
12	3.05	2.71
13	3.01	2.61
14	2.08	1.5
15	2.62	1.75
16	2.72	2.35
17	3.05	2.3
18	2.62	2.05
19	3.92	2.96
20	3.21	3.11
21	2.45	2.26
22	3.45	3.46
23	4.1	3.21
24	2.36	2.36
25	2.52	1.9
26	2.65	2.87
27	3.29	2.76
28	3.74	3.57
29	2.97	3.06
30	3.89	3.66
31	3.19	2.85
32	2.57	2.31
33	3.1	2.81
34	3.28	2.96
35	3.21	3.56
36	3.01	2.72
37	3.46	2.62
38	3.15	3.32
39	2.93	2.27
40	2.63	2.16
